TransactionID,CustomerID,TransactionDate,ProductID,Quantity,UnitPrice,TotalAmount,Rating,PaymentMethod
1,1276,2023-01-10 00:00:00,200,3,310.11,<function <lambda> at 0x7ebdb933e050>,4,12345
2,1471,2023-08-21 00:00:00,204,4,558.96,<function <lambda> at 0x7ebdb933e050>,4,PayPal
3,1376,2023-07-14 00:00:00,262,7,70.08,<function <lambda> at 0x7ebdb933e050>,1,Credit Card
4,1377,2023-01-12 00:00:00,298,6,131.71,<function <lambda> at 0x7ebdb933e050>,2,PayPal
5,1388,2023-06-26 00:00:00,235,11,Unknown,<function <lambda> at 0x7ebdb933e050>,N/A,12345
6,1069,2023-06-26 00:00:00,264,8,356.61,<function <lambda> at 0x7ebdb933e050>,4,Credit Card
7,1112,2023-08-05 00:00:00,277,14,35.8,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
8,1362,2023-01-11 00:00:00,272,9,37.93,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
9,1111,2023-04-28 00:00:00,293,6,635.53,<function <lambda> at 0x7ebdb933e050>,1,Credit Card
10,1363,2023-06-13 00:00:00,223,7,611.99,<function <lambda> at 0x7ebdb933e050>,3,Debit Card
11,1302,2023-02-08 00:00:00,203,4,323.59,<function <lambda> at 0x7ebdb933e050>,N/A,PayPal
12,1470,2023-02-22 00:00:00,277,2,118.44,<function <lambda> at 0x7ebdb933e050>,1,PayPal
13,1451,2023-08-06 00:00:00,288,9,582.05,<function <lambda> at 0x7ebdb933e050>,3,PayPal
14,1090,2023-07-25 00:00:00,267,9,230.6,<function <lambda> at 0x7ebdb933e050>,1,12345
15,1017,2023-11-08 00:00:00,224,4,296.25,<function <lambda> at 0x7ebdb933e050>,5,Debit Card
16,1148,2023-12-26 00:00:00,273,12,479.32,<function <lambda> at 0x7ebdb933e050>,4,PayPal
17,1475,2023-02-25 00:00:00,298,3,250.61,<function <lambda> at 0x7ebdb933e050>,2,PayPal
18,1226,2023-04-28 00:00:00,206,10,441.93,<function <lambda> at 0x7ebdb933e050>,4,Credit Card
19,1213,InvalidDate,212,14,620.27,<function <lambda> at 0x7ebdb933e050>,5,Credit Card
20,1359,2023-10-13 00:00:00,267,11,559.17,<function <lambda> at 0x7ebdb933e050>,2,Credit Card
21,1150,2023-09-25 00:00:00,242,6,270.22,<function <lambda> at 0x7ebdb933e050>,3,PayPal
22,1191,2023-10-18 00:00:00,256,14,205.12,<function <lambda> at 0x7ebdb933e050>,3,Credit Card
23,1450,2023-11-29 00:00:00,235,14,203.43,<function <lambda> at 0x7ebdb933e050>,5,PayPal
24,1039,InvalidDate,213,3,247.27,<function <lambda> at 0x7ebdb933e050>,2,12345
